Account_Created,E,Datetime,Display_Name,Followers_Count,Friends_Count,isVerified,Label,Like_Count,Reply_Count,Retweet_Count,Statuses_Count,Text,Tweet_id,Username
2014-06-07 15:56:22+00:00,E,2019-04-22 00:03:47+00:00,Kazza Chamara,28,201,FALSE,0,0,0,0,1064,"හරීන් - තාත්තා කොච්චිකඩේ පල්ලියට යන්න එපා කිව්වලු...
රනිල් - පහාරය කලින් ආරක්ෂක අංශ දැනගෙන හිටියා, පියවර ගත්තේ නෑ. සමාවෙන්නලු...
BBC - මීගමුව බෝම්බකරු අපේ රටේ මාධ්‍යයන්ට පෙර ලෝකෙට  හෙලිකලා...

ඇමතිලා අගමැතිලා... https://t.co/X67htSCMG9",1.12E+18,Kazza_Chamara
2014-06-07 15:56:22+00:00,E,2019-04-22 00:37:49+00:00,Kazza Chamara,28,201,FALSE,0,0,0,0,1064,"හරීන් - තාත්තා පල්ලියට යන්න එපා බෝම්බ ගහනවා කිව්වලු...

මනෝ- සතියකට කලින් සිද්ධිය දැනන් හිටියලු...

රනිල්-කලින් දැනන් හිටියා.ආරක්ෂක අංශ පියවරක් ගත්තේ නැහැ.සමාවෙන්නලු...

CNN- මීගමුව බෝම්බකරු ලංකාවේ මාධ්‍යවලට පෙර... https://t.co/ultSEZjoJ2",1.12E+18,Kazza_Chamara
2007-08-17 09:43:06+00:00,E,2019-04-22 04:43:47+00:00,M.U.N.A,3876,4974,FALSE,0,15,0,3,88028,පාස්කු ප්‍රහාරයේ මහමොළකරු බව කියන මොහොමඩ් සහරාන් ගැන Colombotoday 2017 දී කළ හෙළිදරව්ව මෙන්න… බලධාරීන්ගේ ඇස යොමු වූවානම් ? https://t.co/2NWW0rb5hf https://t.co/ewPisoJlfr,1.12E+18,muna
2011-03-20 05:36:40+00:00,E,2019-04-22 17:57:41+00:00,クシャンBuwa,1816,741,FALSE,-1,0,1,0,45492,"@TheCitizen1 @DJSlash9 It seems to be there for longtime. Check this out 

පාස්කු ප්‍රහාරයේ මහමොළකරු බව කියන මොහොමඩ් සහරාන් ගැන Colombotoday 2017 දී   කළ හෙළිදරව්ව මෙන්න… බලධාරීන්ගේ ඇස  යොමු වූවානම් ? https://t.co/xOE7gkSbGsපාස්කු-ප්‍රහාරයේ-මහමොළකර/",1.12E+18,kbuwa
2019-01-20 09:20:08+00:00,E,2019-04-23 05:44:31+00:00,Akash,4,9,FALSE,0,0,0,0,4,කටුවපිටිය දේවස්ථානයේ බෝම්බකරු පැමිණෙන අයුරු ආරක්ෂිත කැමරාවල සටහන් වූ හැට... https://t.co/nkRDyISaTA via @YouTube,1.12E+18,AkashNaturist
2014-07-22 15:36:17+00:00,E,2019-04-23 05:52:04+00:00,Shaa FM,1211,89,FALSE,0,0,0,0,109321,කටුවපිටිය දේවස්ථානයේ බෝම්බකරු පැමිණෙන අයුරු ආරක්ෂිත කැමරාවල සටහන් වූ හැටි https://t.co/3xiAIEM5BI,1.12E+18,ShaaFMLanka
2014-06-19 08:41:21+00:00,E,2019-04-23 06:09:57+00:00,Rate Gossip,215,169,FALSE,0,0,0,0,9590,"කටුවාපිටිය දේවස්ථානයට මරාගෙන මැරෙන බෝම්බකරු පැමිණෙන අයුරු ආරක්ෂිත කැමරාවල සටහන් වෙයි - CCTV
#katuwapitiya #katuwapitiyabomber https://t.co/srvQ1ELvye",1.12E+18,RateGossip
2014-07-22 15:36:17+00:00,E,2019-04-23 17:35:49+00:00,Shaa FM,1211,89,FALSE,0,0,0,0,109321,පාස්කු ඉරිදා ප්‍රහාරයේ මහමොළකරු සහරාන් මියගියාද ? https://t.co/yugNNa26gX,1.12E+18,ShaaFMLanka
2012-04-13 09:59:00+00:00,E,2019-04-24 01:20:14+00:00,Enlightened ones,0,13,FALSE,0,0,0,0,7046,බෝම්බකරු දැඩි අන්තවාදියෙක්…! කර්මාන්තශාලාවේ විදෙස් සේවකයන් සියල්ල හෙළිකරයි…! – https://t.co/ty7DYHQyOV https://t.co/0AQblAKrX3,1.12E+18,EnlightenedO
2014-11-01 02:35:15+00:00,E,2019-04-24 03:31:00+00:00,Viraj Kaththriarachchi🇱🇰,245,1372,FALSE,0,0,0,0,1275,මරාගෙන මැරෙන බෝම්බ සාදා ඇත්තේ වැල්ලම්පිටිය තඹ කර්මාන්ත ශාලාවේ : බෝම්බකරු බිරියගෙන් සමුගෙන ඇත https://t.co/iwNSKHRVme,1.12E+18,VishwanathViraj
2010-11-08 22:01:40+00:00,E,2019-04-24 04:35:09+00:00,Srilankamirror,14856,492,FALSE,-1,13,0,8,149384,පිපිරුම් බෝම්බ සාදා ඇත්තේ වැල්ලම්පිටියේ ! -බෝම්බකරු බිරියගෙන් සමුගත් අකාරයේ වෙනසක් !! https://t.co/bhhnnsUItc,1.12E+18,SriLankaMirror
2014-12-07 10:48:12+00:00,E,2019-04-24 04:55:39+00:00,ඇත්ත විත්ති,906,127,FALSE,0,3,1,1,32469,බෝම්බ සාදා ඇත්තේ වැල්ලම්පිටිය කර්මාන්ත ශාලාවේ : බෝම්බකරු බිරියගෙන් සමුගෙන ඇත්තේ වෙනස්ම ආකාරයෙන් (Photos) - https://t.co/LgB5cwLYXB,1.12E+18,aththawiththi
2014-04-17 09:13:10+00:00,E,2019-04-24 09:27:42+00:00,Chαмαяα Nυωαη 🇱🇰,296,532,FALSE,-1,0,0,0,1562,"මරාගෙන මැරෙන බෝම්බ පුපුරවා ස්වර්ගයට ගිය බෝම්බකරු, ඔහුට අත්‍යවශ්‍ය ගැජට් එක දමා ගොස් තිබෙන අයුරැ...😂😂😂😂 https://t.co/Kttx1W0J5C",1.12E+18,Chamara_CHANU
2011-08-29 05:27:02+00:00,E,2019-04-24 12:35:25+00:00,Sandunsiri Malaka Diyunugala,56,82,FALSE,0,0,0,0,5996,මරාගෙන මැරෙන බෝම්බ සාදා ඇත්තේ වැල්ලම්පිටිය තඹ කර්මාන්ත ශාලාවේ : බෝම්බකරු බිරියගෙන් සමුගෙන ඇත https://t.co/3i3fyTw6ll,1.12E+18,Sandunsiri
2015-01-17 00:25:34+00:00,E,2019-04-25 00:57:39+00:00,Sachin Dananjaya98,1788,4642,FALSE,0,19,1,2,13524,"මඩකලපුව ප්‍රදේශයේ දේවස්ථානයට ප්‍රහාරය එල්ල කිරීමට මරාගෙන මැරෙන බෝම්බකරු ඇතුල් වීමට උත්සහ කළ අවස්ථාවේදී, විශාල ගමන් මල්ල ඉවත්කර දේවස්ථානයට ඇතුල් වෙන ලෙසට රමේෂ් පවසනවා. නමුත් ඇතුළත දර්ශන රූගත කිරීමට අවශ්‍ය බව පවසමින් බෝම්බකරු දේවස්ථානයට  ඇතුල්වීමට උත්සහ කරනවා. https://t.co/dOADFbxt46",1.12E+18,sachinpeiris98
2015-01-17 00:25:34+00:00,E,2019-04-25 00:58:20+00:00,Sachin Dananjaya98,1788,4642,FALSE,0,8,1,1,13524,"මේ අවස්ථාවේ රමේෂ් මෙයට විරුද්ධ වෙමින් ඔහුව වළක්වන්නට වෙර දරන විට, මරාගෙන මැරෙන බෝම්බකරු බෝම්බය පුපුරවා ගන්නවා. 
මෙම ප්‍රහාරය දේවස්ථානය තුළ සිදුවූවානම් අති විශාල ජීවිත හානියක් වීමට ඉඩ තිබුනි. රමේෂ්ගේ ජීවිතය මේ ප්‍රහාරයෙන් නැති වුනත්, ඔහුගේ ක්‍රියාව නිසා ජීවිත රැසක්ම ආරක්ෂා විය!",1.12E+18,sachinpeiris98
2014-07-22 15:36:17+00:00,E,2019-04-25 07:40:46+00:00,Shaa FM,1211,89,FALSE,1,2,0,0,109321,ෂැන්ග්‍රිලා මරාගෙන මැරෙන බෝම්බකරු පියා සමඟ ව්‍යාපාරික සම්මාන උළෙලකදී සම්මානයකුත් අරන් https://t.co/iZ9KP5xtmU,1.12E+18,ShaaFMLanka
2017-01-15 09:56:43+00:00,E,2019-04-25 08:31:18+00:00,C News,393,1607,FALSE,-1,0,0,0,12976,සිනමන් ග්‍රෑන්ඩ් හෝටලයට ආ මරාගෙන මැරෙන බෝම්බකරු පියා සමඟ ව්‍යාපාරික සම්මාන උළෙලෙකදී සම්මානයකුත් අරගනියි https://t.co/BT0NEbwKz9,1.12E+18,cnewslk
2010-07-07 08:53:27+00:00,E,2019-04-25 09:39:56+00:00,Gossip Lanka News,6706,4,FALSE,0,0,0,1,34153,"ෂැන්ග්‍රිලාහිදී මියගියේ මහමොළකරු සහරාන් හෂිම් නොවේ - ඔහු තවම ජීවතුන් අතරද?
Read Here--&gt; https://t.co/RxItKYtD03",1.12E+18,gossiplanka
2017-12-24 17:21:42+00:00,E,2019-04-25 09:46:32+00:00,ශ්‍රී ලංකා පොදුජන පෙරමුණ,701,50,FALSE,0,0,0,0,20146,සිනමන් ග්‍රෑන්ඩ් හෝටලයේදී මරාගෙන මැරුණු බෝම්බකරු ව්‍යාපාරික උළෙලකදී සම්මානයකුත් අරගෙන https://t.co/ZTKDodKfVR,1.12E+18,slppofficial
2010-07-07 08:53:27+00:00,E,2019-04-25 09:47:10+00:00,Gossip Lanka News,6706,4,FALSE,1,1,0,0,34153,ෂැන්ග්‍රිලාහිදී මියගියේ මහමොළකරු සහරාන් හෂිම් නොවේ - ඔහු තවම ජීවතුන් අතරද?: පසුගිය ඉරිදා… https://t.co/Ug7k6vpKn7,1.12E+18,gossiplanka
2007-08-17 09:43:06+00:00,E,2019-04-25 09:53:48+00:00,M.U.N.A,3876,4974,FALSE,0,0,0,0,88028,සිනමන් ග්‍රෑන්ඩ් හෝටලයේදී මරාගෙන මැරුණු බෝම්බකරු ව්‍යාපාරික උළෙලකදී සම්මානයකුත් අරගෙන https://t.co/IzAPcqBVJG,1.12E+18,muna
2014-10-04 09:19:37+00:00,E,2019-04-25 10:26:15+00:00,GOSSIP99,41,90,FALSE,-1,0,0,0,12857,shangri - la ප්‍රහාරය එල්ල කර ‌මියගියේ මහමොළකරු සහරාන් හෂිම් නොවේ - තවම ජීවතුන් අතරද? https://t.co/QqCqrY0cYG,1.12E+18,GOSSIP99NEWS
2010-08-28 04:54:46+00:00,E,2019-04-25 13:36:38+00:00,Ada Derana Sinhala,110118,9,FALSE,0,25,0,4,117430,ප්‍රහාර මාලාවේ ප්‍රධාන බෝම්බකරු බව සැලකෙන සහරාන්ගේ සහෝදරිය කියූ කතාව https://t.co/pTpJqQXioL,1.12E+18,adaderanasin
2010-11-04 07:10:56+00:00,E,2019-04-25 14:07:50+00:00,Kingsley Karunaratne,254,905,FALSE,-1,0,0,0,20797,කොළඹ නගරයේ සැරි සැරූ සැක සහිත ලොරි රථය අත්අඩංගුවට - හිමිකරු ශැංග්‍රිලා බෝම්බකරු සහරාන් හෂීම් https://t.co/tiWu56z3buපුවත්/127-general-news/42323-කොළඹ-නගරයේ-සැරි-සැරූ-සැක-සහිත-ලොරි-රථය-අත්අඩංගුවට,1.12E+18,karunaratneadk
2012-01-20 09:23:09+00:00,E,2019-04-25 19:55:15+00:00,Arch.S.Vivekaananthan.AIA(SL),196,879,FALSE,0,0,0,0,38206,ෂැංග්‍රිලා බෝම්බකරු සහ රිෂාඩ් බදියුදීන් අතර සබඳතාවක් ගැන එස්.බී. කියයි... https://t.co/vEniawwE1s via @YouTube,1.12E+18,SVivekaananthan
2014-08-13 05:42:28+00:00,E,2019-04-26 05:18:18+00:00,Paththare Visthare,767,2,FALSE,1,2,0,1,1422,ඇමතිවරයෙකු‌ගේ බලපෑමෙන් හමුදා හිස් පතුරම් ‌‌තොග පිටින් ෂැංග්‍රි-ලා ‌‌බෝම්බකරු අරන්. https://t.co/7TTyNRvcOI,1.12E+18,hirutvpaththare
2019-04-22 02:17:12+00:00,E,2019-04-26 05:26:34+00:00,Kusal Viduranga,37,504,FALSE,0,2,1,0,213,"#රමේශ්

රමේශ් ගැන මේ වෙනකොටත් ඔයාලා දන්නව ඇති...ඔහු මඩකලපුව ජනතාවට නම් මහත් වීරයෙකි...

එනම් ඔහු නිසා ජීවිත ගනනාවක් බේරුනු නිසයි..ඔහු සියෝන් දේවස්ථානයට පැමිණි බෝම්බකරු පිලිබද සැක සිතී ඔහු කවුදැයි කියා ප්‍රශ්න කර ඇති අතර එහිදී ත්‍රස්තවාදියා පවසා ඇත්තේ තමන් කැමරාකරුවෙකු බවයි.. https://t.co/LHiUQozuDl",1.12E+18,KusalViduranga
2012-10-26 13:56:15+00:00,E,2019-04-26 17:27:50+00:00,Avinath,1547,340,FALSE,0,3,0,1,20742,"මරාගෙන මැරෙන බෝම්බකරු ඉන්සාෆ් රුපියල් කෝටියක, පතුරම් කොපු කිලෝ 5000ක් බදුදීන්ගේ ලිපි හරහා කාර්මික සංවර්ධන මංඩලයෙන් මිලදී ගෙන..!",1.12E+18,CrazyHesH
2015-07-30 16:08:12+00:00,E,2019-04-27 04:17:06+00:00,udayanga sandaruwan,7,19,FALSE,0,0,0,0,2757,"""ලේ ගංගාවන් ගලා යනවා.. ලේ සුවඳ විතරයි දැනුනෙ"" - මරාගෙන මැරෙන බෝම්බකරු පරදා ජීවත්වන ඇගේ කතාව | Sri Lanka Brea https://t.co/DVGISKpIcz",1.12E+18,udayanga9400
2011-06-12 11:13:25+00:00,E,2019-04-27 08:45:30+00:00,A A J S Adikari,83,140,FALSE,-1,0,0,0,2674,"දෙහිවල බෝම්බකරු අයිසිස්‌ සංවිධානයට බැඳී ඇත්තේ ඔස්‌ට්‍රේලියාවේදී.
https://t.co/zLwJKtuJFZ
#SriLankaAttack",1.12E+18,AAJSAdikari
2010-06-01 11:55:21+00:00,E,2019-04-27 10:48:49+00:00,Amila Chathuranga,10110,4652,FALSE,-1,0,0,0,92957,@Malpapadam අනතුර වයිට් වෑන් නොමැති කල බෝම්බකරු ලෙසින් වුවද පැමිණිය හැක.,1.12E+18,indika27
2014-11-02 05:47:40+00:00,E,2019-04-29 07:09:04+00:00,Vimukthi Prabhth,68,185,FALSE,-1,0,0,0,7152,දෙහිවල බෝම්බකරු පල්ලියක් තුළ යාඥා කළ CCTV දර්ශන...,1.12E+18,a_vimukthi
2010-07-07 08:53:27+00:00,E,2019-05-03 04:15:19+00:00,Gossip Lanka News,6706,4,FALSE,0,11,1,2,34153,"කටුවාපිටියේ බෝම්බකරු සාපෙළ ඒ 9 ක් ගත් අයෙක්
Read Here--&gt; https://t.co/6kSyAds82T",1.12E+18,gossiplanka
2010-07-07 08:53:27+00:00,E,2019-05-04 15:24:26+00:00,Gossip Lanka News,6706,4,FALSE,1,0,0,0,34153,"දෙහිවල බෝම්බකරු ජමීල්ගේ නවසීලන්ත සම්බන්ධය හෙළිවේ
Read Here--&gt; https://t.co/B8GzW9R4DX",1.12E+18,gossiplanka
2014-10-04 09:19:37+00:00,E,2019-05-05 03:41:10+00:00,GOSSIP99,41,90,FALSE,1,0,0,0,12857,"දෙහිවල බෝම්බකරු අබ්දුල් ලතීෆ් ජමීල්ගේ  නවසීලන්ත සම්බන්ධයක තොරතුරු හෙළිවේ
https://t.co/hvwyL0lFga https://t.co/hvwyL0lFga",1.12E+18,GOSSIP99NEWS
2012-05-05 16:09:07+00:00,E,2019-05-05 05:31:15+00:00,මැද පෙරදිග,2136,1360,FALSE,-1,1,0,0,53786,දෙහිවල බෝම්බකරු ජමීල්ගේ නවසීලන්ත සම්බන්ධය හෙළිවෙයි | A new voice for a new Sri Lanka https://t.co/wpt1P38zMM,1.12E+18,medaperadiga
2014-09-15 19:08:50+00:00,E,2019-05-05 20:30:02+00:00,Lanka-e-News.com,1032,2,FALSE,0,0,0,0,13719,බෝම්බ ප්‍රහාරයේ මහමොළකරු සහ්රාන්ගේ මස්සිනා � https://t.co/GDls6NpwAr #LEN,1.13E+18,DonSenadheera
2013-09-03 13:29:25+00:00,E,2019-05-06 06:25:11+00:00,විගස පුවත් 24x7,8061,795,FALSE,1,2,0,1,82142,පාස්කු ඉරිදා ප්‍රහාරයට සුදානම් වී සිටි 10වෙනි බෝම්බකරු ඉලක්කය වැරදී මක්කම ගිහින් https://t.co/wctSIz5p5K,1.13E+18,vigasapuwath
2010-06-16 10:21:10+00:00,E,2019-05-06 08:37:24+00:00,Hiru FM,8684,6,FALSE,0,5,0,2,138533,දසවැනි බෝම්බකරු මක්කම වන්දනාවේ ගිහින් https://t.co/jQ0pNN07Mb,1.13E+18,hirufmsrilanka
2015-07-18 13:39:43+00:00,E,2019-05-07 06:13:43+00:00,WebGossip,1011,4,FALSE,1,0,0,0,4059,මඩකලපුවේ සියෝන් දේවස්ථානයට ගිහින් බෝම්බය පුපුරවගන්න කළින් බෝම්බකරු තවත් දේවස්ථානයකට ඇතුළුවෙලා? - https://t.co/Xpck5AwQAL https://t.co/kBiVLZ1Blt,1.13E+18,WebGossiplk
2015-05-18 10:51:45+00:00,E,2019-05-09 13:33:25+00:00,ITN News,2007,3,FALSE,0,0,0,0,61737,බෝම්බකරු පැමිණි වාහනයේ කොටස් රසපරීක්ෂක වෙත - Read More &gt;&gt;&gt; https://t.co/D9K1ve9Iyr #LKA #SriLanka https://t.co/UhhdOFJ95p,1.13E+18,itnnewslk
2015-03-16 13:23:35+00:00,E,2019-05-14 12:21:12+00:00,• NaVe∃n MaYanThA🇱🇰 🇬🇧,2433,974,FALSE,-1,7,1,1,48273,"මැතිවරණයකට යන්  නෑ.මොකද රටතුල වාතාවරණය හොද නෑනේ..
ඔන්න මෙහෙම තැනින් තැන මුස්ලිම් උන්ට ගහද්දී උන් උන්ගෙ ගැලවීමට මගක් හොයනවා.ඔය වෙලාවේ අන්තවාදී සංවිධාන මුස්ලිම් උන්ගේ ගැලවුම්කාරයා විදිහට පෙනී සිටිනවා.ඔය හරහා මුස්ලිම් පිරිස් දහස් ගනනින් ආයුද ගනීවි..රටේ තැනින් තැන එක එකා මරාගනීවි.
8",1.13E+18,imNaviya
2018-02-24 13:34:31+00:00,E,2019-05-14 14:33:03+00:00,my_name_is_kanch,3,7,FALSE,-1,0,0,0,1,සියලුම මුස්ලිම් සහ දමිල අන්තවාදී ත්‍රරස්තවාදීන් ස්වාභවික හේතුමත මේ මොහොතේම මිය යා යුතුය. එවිට සියලුම සින්හල අන්තවාදි ත්‍රස්තවාදීන් එම දුකට එවෙලේම ලය පැලී මිය යනු ඇත.,1.13E+18,hero60296669
2010-09-02 12:39:59+00:00,E,2019-05-14 17:43:20+00:00,V I S H W A 🇱🇰,7541,656,FALSE,-1,228,23,45,42640,"දැන් බෝම්බ සීන් එක උන වෙලේ කිව්වෙ මොකක්ද? ඒ ත්‍රස්තවාදියො අන්තවාදියෝ, මුස්ලිම් බහුතරය නෙවෙයි.
අපි අදටත් පිළිගන්නවා ඒක. 
දැන් මේ කලබල සීන් එක කරේ කවුද? දේශපාලන හෝ වෙනයම් උසි ගැන්වීමකින් කරපු අන්තවාදී සුළුතරයක්. සිංහල බහුතරය නෙවෙයි.
ඇයි ඔයාල ඒක පිළිගන්න අකමැති?",1.13E+18,vishiru
2016-09-12 07:01:03+00:00,E,2019-05-15 06:09:00+00:00,Buwa Live,6,67,FALSE,0,0,0,0,3172,පාස්කු ප්‍රහාරයේ තාක්ෂණික මහමොළකරු වර්චුසාහි මෘදුකාංග ඉංජිනේරුවා බව රොයිටර් කියයි. | https://t.co/qzS3ZLjXGT https://t.co/0pbIxDVapv,1.13E+18,buwalive
2017-03-06 16:17:01+00:00,E,2019-05-15 07:15:08+00:00,Kasun Nadeera,929,4697,FALSE,-1,20,3,2,1995,"මිනුවන්ගොඩ විනාස කරපු සිංහල අන්තවාදී මැර කල්ලි වලට එරෙහිව සිංහල සමාජයෙන් නැගුණු හඬ, මුස්ලිම් අන්තවාදීන්ට එරෙහිව මුස්ලිම් සමාජයෙන් නැගුණේ නැත..

ත්‍රස්තයා කුමන ආගමේද, අන්තයා කුමන ආගමේද, යන්න නොබලා උන්ව විවේචනය කළ යුතුමය...

#LKA",1.13E+18,kasunnadds
2014-11-14 07:39:58+00:00,E,2019-05-15 07:48:10+00:00,asanga priyanath🧙🏻‍♂️,1404,489,FALSE,-1,15,1,0,2997,"කියල,
යකෝ ඒකගෙ බෙල්ල මිරිකල මරන්න කෝපයක්නෙ එන්නෙ .

මන් කිසි සේත් අනුමත් කරන්නෙ නෑ 13 මුස්ලිම් පල්ලි වලට ගහපු එකයි, අන්තවාදී  නොවන සහුර්ද  මුස්ලිම් ජනතාවගෙ දේපල විනාස කරපු එකයි දේශපාලන  ඉත්තො වෙලා..

ඒවගේම තොපි ඒ ගහපු උන්ට ආගමක් නෑ කියන එකත් මන් අනුමත් කරන්නෙ නෑ .",1.13E+18,asanga122
2010-06-16 10:21:10+00:00,E,2019-05-15 11:27:46+00:00,Hiru FM,8684,6,FALSE,0,3,0,0,138533,කොච්චිකඩේ බෝම්බකරු පැමිණි වෑන් රථය මිලට ගත් පුද්ගලයා අත්අඩංගුවට https://t.co/CXgGxQL4GD,1.13E+18,hirufmsrilanka
