Display Name,Username,IsVerified,Account Created,Followers Count,Friends Count,Statuses Count,User Location,List Count,User Bio
Kazza Chamara,Kazza_Chamara,FALSE,2014-06-07 15:56:22+00:00,29,203,1064,,0,
M.U.N.A,muna,FALSE,2007-08-17 09:43:06+00:00,3873,4983,89755,,22,මදාවි උඩුරාවණාගේ නන්දසේන අපුහාමි
Akash,AkashNaturist,FALSE,2019-01-20 09:20:08+00:00,4,9,4,Wadduwa,0,I m a naturist who respect nudisum.
Shaa FM,ShaaFMLanka,FALSE,2014-07-22 15:36:17+00:00,1228,81,110243,colombo WTC,0,"FOLLOW US: ❤❤ 
Instagram: 👇
instagram.com/shaafmlk/ 
Facebook: 👇
facebook.com/ShaaFMSriLanka
TikTok: 👇
tiktok.com/@shaafm"
Enlightened ones,EnlightenedO,FALSE,2012-04-13 09:59:00+00:00,0,13,7046,,0,
Viraj Kaththriarachchi🇱🇰,VishwanathViraj,FALSE,2014-11-01 02:35:15+00:00,246,1372,1275,Sri Lanka|Blogger| Handling Ko,3,👨‍🎓👨‍💻
ඇත්ත විත්ති,aththawiththi,FALSE,2014-12-07 10:48:12+00:00,907,132,32469,,10,
Sandunsiri Malaka Diyunugala,Sandunsiri,FALSE,2011-08-29 05:27:02+00:00,55,82,5999,"Kurunegala,Sri Lanka",0,"🇱🇰අප්‍රමාදව කුසල් රැස් කරන්න🇱🇰
😀One day we will die😀
👉අපිත් දවසක මැරෙනවා👈"
Gossip Lanka News,gossiplanka,FALSE,2010-07-07 08:53:27+00:00,7984,4,35497,Colombo,25,Underground News from Sri Lanka
ශ්‍රී ලංකා පොදුජන පෙරමුණ,slppofficial,FALSE,2017-12-24 17:21:42+00:00,758,52,21488,United Arab Emirates,0,පොදුජන පැතුම වපුරන රන්කෙත.
Ada Derana Sinhala,adaderanasin,FALSE,2010-08-28 04:54:46+00:00,121579,10,121026,Sri Lanka,130,"ශ්‍රී ලංකාවේ විශ්වසනීය හා ප්‍රමුඛතම පුවත් සපයන්නා
#adaderana"
Arch.S.Vivekaananthan.AIA(SL),SVivekaananthan,FALSE,2012-01-20 09:23:09+00:00,195,831,40257,"Colombo,Srilanka.",0,"Chartered architect,  Life.Member, OPA (SL)  Carnatic ""Miruthangam"" instrument player, Astrological Researcher & Singer."
Paththare Visthare,hirutvpaththare,FALSE,2014-08-13 05:42:28+00:00,766,2,1422,,1,
Kusal Viduranga,KusalViduranga,FALSE,2019-04-22 02:17:12+00:00,36,503,213,Sri Lanka,0,"#sri_lankan_student......            


                                                     #Music_
Cricket_everything..."
Avinath,CrazyHesH,FALSE,2012-10-26 13:56:15+00:00,1545,340,20662,"Colombo, Sri Lanka",18,| Dreamer| Traveler | Proud #SriLankan | Faculty of Medicine Ruhuna |  #BloodBPlka | simple species  ❤  |  ツ |
udayanga sandaruwan,udayanga9400,FALSE,2015-07-30 16:08:12+00:00,7,19,2757,Sri Lanka,0,
GOSSIP99,GOSSIP99NEWS,FALSE,2014-10-04 09:19:37+00:00,41,90,12858,sri lanka,0,GOSSIP99 EXCLUSIVE NEWS - ශ්‍රී ලංකාවේ ජනප්‍රියම සිංහල වෙබ් අඩවිය -Sri Lankan Daily Hot Sinhala and English Gossip News
විගස පුවත් 24x7,vigasapuwath,FALSE,2013-09-03 13:29:25+00:00,8218,792,82143,"Dubai, United Arab Emirates",17,Srilanka Fast Web News Provider 24x7...
Hiru FM,hirufmsrilanka,FALSE,2010-06-16 10:21:10+00:00,8816,7,139050,Colombo,26,"Hiru FM, the Number 01 Sinhala channel in Sri Lanka,a member of the Asia Broadcasting Corporation Private Limited which is a Rayynor Silva Holdings company."
WebGossip,WebGossiplk,FALSE,2015-07-18 13:39:43+00:00,1017,4,4059,Sri Lanka,0,ලොව වටේ වෙබ් ගොසිප්
ITN News,itnnewslk,FALSE,2015-05-18 10:51:45+00:00,2445,3,64938,Sri Lanka,11,"Welcome to ITN News on Twitter. News, Views, Reviews, Interviews and a whole range of intriguing stories on various categories."
zoom news Sri Lanka,zoomalert,FALSE,2013-04-17 16:25:49+00:00,2409,3739,6991,colombo.,3,රට තොට පුවත් අස්වැන්න.
Dissa - දිසා,AnushaDissanay5,FALSE,2018-03-07 20:02:28+00:00,22,18,127,,0,
Dushyantha Perera,wtdperera,FALSE,2011-07-16 11:41:36+00:00,309,1445,15234,"Colombo, Sri Lanka",34,"👑 Sinhalese
🙏 Theravada Buddhist"
Gihan De Alwis,gihan_de_alwis,FALSE,2014-07-29 12:34:04+00:00,1942,950,33431,Galle,4,"Knowledge is power. Information is liberating.
Law student @lawouslmrc
'14 Mahindian |
Dreamer | Reader | Foodie  #කුරුටුගෑසිතිවිළි #කියවීම්"
Socialist Equality Party (Sri Lanka),SepLanka,FALSE,2017-09-13 07:36:44+00:00,350,30,3169,,2,| wsws.org/ta | wsws.org/si |
𝗦𝗮𝗻𝗱𝘂𝗻,Sansajran,FALSE,2010-10-06 03:00:54+00:00,14457,962,208421,Sri Lanka,40,𝗡𝗶𝗲𝗺𝗮𝗻𝗱 𝗶𝘀𝘁 𝗽𝗲𝗿𝗳𝗲𝗸𝘁
randeera,randeera,FALSE,2009-06-05 12:14:04+00:00,4450,761,29317,BIA,25,ජීවිතේ එක මොහොතක් එනවා එකෙක්ට වත් උඹට උදවු කරන්න බැරි .. උදවු නොකරන සහ එකෙක්වත් උඹට වෙනුවෙන් නැතිවෙන. අන්න ඒ මොහොතට ලෑස්ති වෙලා ඉදපන් !!!
prasanna pathiraja,prasannapathi,FALSE,2009-04-11 10:07:08+00:00,21,373,177,,0,"lawyer, Human Rights activist"
දසුන් මාලක,Dasun_Malaka,FALSE,2014-07-14 14:33:15+00:00,324,619,4655,Kelaniya. Sri lanka ,0,#නත්ථි_මේ_සරණං_අඤ්ඤං_බුද්ධෝ_මේ_සරණං_වරං #නමෝ_බුද්ධාය #දෙමළ #බෞද්ධ #University_of_Kelaniya
Indika Ruwan,IndikaR72818290,FALSE,2018-09-30 20:49:28+00:00,2333,969,4392,"Galle, Sri Lanka",0,
Dhammika,lucid_SL,FALSE,2010-03-27 18:44:58+00:00,412,568,1727,,3,Open-source enthusiast
u/Malaka,3rmur4z0r,FALSE,2013-07-01 13:05:43+00:00,492,454,2958,Angband,2,"Speak ""friend"" and enter.

 #HalaMadridYNadaMas | #Madridsta ⚽ | #MiddleEarth | #JRRTolkienFan"
Thusitha Perera,ThusithaPerera5,FALSE,2017-01-20 02:50:31+00:00,23,194,84,Sri Lanka,0,News Politics Government & Politics #Election
SLBC News,SLBCnewslk,FALSE,2015-11-02 06:38:04+00:00,116,211,8999,,1,
Lanka Voice of Media,LankaVoice,FALSE,2015-02-15 16:43:55+00:00,620,2848,96142,Sri Lanka,19,🔴Ex-News editor 🔴Ex-TV news presenter 🔴Ex-News anchor 🔴Ex- Publicity consultant for ADB Bank🔴Ex-Public Relations Executive for 03 TV& 04 Radio channels
indika karunapala,indikagayan2010,FALSE,2009-05-16 11:33:19+00:00,129,1011,25053,"ansan,South Korea",2,
Agamya,Agamyalk,FALSE,2019-05-16 01:09:17+00:00,96,5,25209,Sri,0,The Space For Social Inquiry
Truth First - Lanka,ApiWenuwen,FALSE,2015-05-09 12:09:55+00:00,5291,801,246071,Sri Lanka,59,"“you can, you should, and if you’re brave enough to start, you will.”🇱🇰"
Kuma Epa,EpaKuma,FALSE,2019-06-11 14:47:01+00:00,8,58,26,,0,ට්විටර් වෙබ් අඩවියේ සිංහල සාමාජිකයන් හට සිංහල ජාතිය ගැන හැඟීමක් ඇති කිරීම සඳහා ම පමණි
Dushyantha Withanage,dushyantha0777,FALSE,2016-03-19 14:08:05+00:00,3,1,640,Sri Lanka,0,
Muthunayake,Muthunayake,FALSE,2009-04-02 02:04:39+00:00,244,717,3248,,4,
